id	age	localisation	csp_student	csp_active	csp_other	subscription	travel_hour	weather_good	weather_mean	weather_hardcore	distance	expected_time_bus	expected_time_vlib	comfort_bus_good	comfort_bus_mean	comfort_bus_hardcore	time_bus	distance_vlib	parking_vlib	choice
39	23	50	1	0	0	1	15	1	0	0	500	10	10	0	1	0	15	10	10	1
39	23	50	1	0	0	1	15	1	0	0	500	10	10	0	1	0	0	1	10	1
39	23	50	1	0	0	1	15	1	0	0	500	10	10	0	0	1	15	10	5	1
39	23	50	1	0	0	1	15	1	0	0	500	10	10	0	1	0	5	5	10	1
40	21	100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	5	1
40	21	100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	5	1	1
40	21	100	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	5	1
40	21	100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	1
40	21	100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	10	1	1
40	21	100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	15	5	10	1
41	21	200	1	0	0	0	20	1	0	0	1000	7	7	0	1	0	0	10	5	1
41	21	200	1	0	0	0	20	1	0	0	1000	7	7	1	0	0	0	5	1	1
41	21	200	1	0	0	0	20	1	0	0	1000	7	7	0	0	1	0	5	10	2
41	21	200	1	0	0	0	20	1	0	0	1000	7	7	0	1	0	15	10	1	2
41	21	200	1	0	0	0	20	1	0	0	1000	7	7	1	0	0	0	5	10	1
41	21	200	1	0	0	0	20	1	0	0	1000	7	7	0	0	1	15	5	5	2
42	21	200	1	0	0	0	8	0	1	0	3000	15	15	0	1	0	0	10	5	1
42	21	200	1	0	0	0	8	0	1	0	3000	15	15	1	0	0	0	5	1	1
42	21	200	1	0	0	0	8	0	1	0	3000	15	15	0	0	1	0	5	10	1
42	21	200	1	0	0	0	8	0	1	0	3000	15	15	0	1	0	15	10	1	2
42	21	200	1	0	0	0	8	0	1	0	3000	15	15	1	0	0	0	5	10	1
42	21	200	1	0	0	0	8	0	1	0	3000	15	15	0	0	1	15	5	5	2
43	20	300	0	0	0	0	19	0	1	0	6500	35	35	0	0	1	15	5	10	2
43	20	300	0	0	0	0	19	0	1	0	6500	35	35	1	0	0	0	1	1	2
43	20	300	0	0	0	0	19	0	1	0	6500	35	35	0	1	0	0	10	1	1
43	20	300	0	0	0	0	19	0	1	0	6500	35	35	0	0	1	5	10	5	1
43	20	300	0	0	0	0	19	0	1	0	6500	35	35	0	1	0	0	1	1	2
43	20	300	0	0	0	0	19	0	1	0	6500	35	35	0	0	1	0	10	10	1
